PNword	review
좋	40 만 원 대 후반 가격 에 성능 좋 고 디자인 좋 고 마감 좋 고 
좋	40 만 원 대 후반 가격 에 성능 좋 고 디자인 좋 고 마감 좋 고
좋	as 에 대하 ᆫ 안 좋 은 얘기 가 있 긴 하 았 지만 가격 과 성능 이 이 를 대신 하 ᆫ다고 보 ㅂ니다
좋	이 가격 에 이 성능 이 라니 정말 가성비 좋 습니다
만족	화면 은 제 가 무디 ᆫ 편 이 라 잘 모르 지만 , 무난 하 네요 가격 대비 성능 만족 하 ㅂ니다
매우	노트북 은 가격 대비 성능 비 매우 좋 구요 설치 하 시 ᆯ 때 꼭 최신 버전 원동 ㅜ 10 이나 클린 설치 만들 시 어서 깔 시 던지 아니 면 설치 하 고 원동 ㅜ 를 최신 버전 상태 로 올리 시 고 드라이버 설치 하 시 어야지 고생 안 하 시 ㅂ니다 
좋	노트북 은 가격 대비 성능 비 매우 좋 구요 설치 하 시 ᆯ 때 꼭 최신 버전 원동 ㅜ 10 이나 클린 설치 만들 시 어서 깔 시 던지 아니 면 설치 하 고 원동 ㅜ 를 최신 버전 상태 로 올리 시 고 드라이버 설치 하 시 어야지 고생 안 하 시 ㅂ니다
좋	결론 가격 대비 좋 고 가격 대비 이상 성능 을 바라 지 말 자 돈 갑 하 는 제품 이 ㅂ니다
좋	8세대 i5 노트북 을 업무용 으로 사용 하 고 있 는데 가격 대비 성능 이 좋 아서 비슷 하 ᆫ 사양 에 그래픽 이 좀 더 낫 다는 얘기 ㄹ 듣 고 구입 하 았 습니다
만족	깔끔 하 ᆫ 디자인 에 성능 은 더 쓰 어 보 아야 알 겠 지만 만족 하 고 사용 하 ㅂ니다
좋	성능 으로 보 나 가격 으로 보 나 좋 습니다
좋	무게 도 적당 하 고 부팅 도 빠르 고 가격 대비 성능 좋 아요
만족	금액 대비 성능 정말 만족 하 ㅂ니다
좋	소음 도 적 고 , 성능 좋 고 IPS 패널 이 라 눈 에 확실히 좋 습니다 
좋	소음 도 적 고 , 성능 좋 고 IPS 패널 이 라 눈 에 확실히 좋 습니다
좋	5 년 전 에 도 레노버 가성비 노트북 을 쓰 엇 었 는데 비슷 하 ᆫ 가격 이 ᆫ데 도 성능 과 디자인 이 엄청 좋 아 지 었 네요
좋	사실 고가 의 비슷 하 ᆫ 성능 감성 값 주 느니 이런 제품 살 는게 훨 좋 은 것 같 아요
좋	가격 과 성능 정말 좋 네요
