PNword	review
가볍	몇 일 더 쓰 어 보 아야 알 겠 지만 가성비 는 굿 이 ㅂ니다 이 ᆫ 가격 에 가볍 ᆫ 무게 , 백라이트 , 슬림 베젤 , 사양 도 인텔 i5 급 이 니 다르 ᆫ 부분 에서 조금 타협 하 아서 쓰 는 것 도 괜찮 은 것 같 네요 문제없이 오래 쓰 었 으면 좋 겠 네요
가볍고	무게 도 많이 가볍고 배터리 도 오래가 아서 야외 사용 하 기 도 좋 을 것 같 아요
무겁	무게 가 예상 보다 는 조금 무겁 었 지만 그래도 가볍 ᆫ 편 
가볍	무게 가 예상 보다 는 조금 무겁 었 지만 그래도 가볍 ᆫ 편
빼	배송 보통 노트북 무게 보통 노트북 색깔 보통 뒷쪽 에 음식물 음료 같 은 찐득 하 ᆫ 물질 이 묻 어 있 는 것 빼 고 는 괜찮 은 것 같 은데 혹시나 안쪽 에 흘러들어가 ㄴ 것 이 ᆫ 아니 겠 지요 진짜 성격 이 서 징후 ㄴ 이 라 바꾸 고 싶 은데 일단 쓰 어 보 겠 습니다
적당	이동 을 하 면서 공부 / 사무용 으로 사용 하 지 딱 적당 하 ᆫ 무게 와 크기 이 ㅂ니다
가볍	윈도우 설치 하 느라 조금 은 고생 하 았 지만 빠르 ᆫ 부팅 그리고 깔끔 하 ᆫ 액정 완전 추천 드리 어요 tn 패널 과 아니 ᆫ 패널 의 차이 확실 하 어요 개인 적 으로 강추 무게 도 14인치 이 라서 가볍 구요 액정보호필름 은 똥 손 이 라 실패
적당	무게 도 적당 하 고 부팅 도 빠르 고 가격 대비 성능 좋 아요
가볍	주로 집 에서 사용 하 지만 , 무게 도 가볍 어서 밖 에서 도 쓰 기 편하 ᆯ 것 같 습니다
가볍	무게 는 초 경량 놋북 만큼 가볍 지 는 않 지만 그래도 가볍 ᆫ 편 에 속 하 는 것 같 습니다 
가볍	무게 는 초 경량 놋북 만큼 가볍 지 는 않 지만 그래도 가볍 ᆫ 편 에 속 하 는 것 같 습니다
무겁	무게 는 기존 에 LG 그램 을 사용 중 이 어서 생각 보다 무겁 ᆫ 것 같 습니다
가볍고	무게 도 가볍고 속도 도 빠르 고 모두 만족스럽 습니다
가볍	블루 제품 미 개봉 상태 로 잘 받 았 고 무게 도 매우 가볍 어서 휴대 하 지 좋 을 것 같 습니다
가볍	무게 도 완전 가볍 ᄆ
무겁	그램 이나 올 웨이 즈 등 과 비교 하 면 무겁 으나 이동 하 는데 부담 있 을 무게 는 아니 ㅂ니다
가볍	무게 는 성인 남자 가 들 고 다니 기 에 는 충분히 가볍 습니다
무겁	그램 이나 올 웨이 즈 등 과 비교 하 면 무겁 으나 이동 하 는데 부담 있 을 무게 는 아니 ㅂ니다
약간	노트북 무게 는 약간 있 음 참 을 만 하 ᄆ
가볍고	이 정도 가격 에 이 스펙 이 면 가성비 는 따지 ᆯ 필요 도 없 네요 배송 도 기대 하 ᆫ 것 보 다는 일찍 도착 하 아서 만족 하 고 요 키감 도 부드럽 고 불량 도 없 내 요 무게 도 가볍고 요구 동 하 니 부드럽 게 잘 돌아가 ㅂ니다
약간	장점 : 가성비 , 분해 편리 성 , 너무 무겁지 않 은 정도 의 무게 단점 : 터치패드 가 약간 부실 , 덮개 로 절전 모드 기능 인식 이 잘 안 되 ᄆ 결론 : 이 가격 에 이 정도 이 면 무조건 지르 어야 하 ᄆ
약간	노트북 무게 는 약간 있 음 참 을 만 하 ᄆ
가볍	그리고 막상 받 아 보 니 디자인 도 맘 에 들 이 고 무게 도 생각 보다 가볍 어요
가볍	그리고 막상 받 아 보 니 디자인 도 맘 에 들 이 고 무게 도 생각 보다 가볍 어요
가볍고	무게 도 가볍고 라 이제 ᆫ 이 라 그렇 ᆫ지 반응 도 빠르 네요
