PNword	review
좋	젤 맘 에 들 었 던 것 노트북 스럽 지 않 은 시원 스럽 ᆫ 화면 이 고 가정 용 으로 쓰 기 에 는 속도 도 빠르 아서 전 에 쓰 던 거북이 데스크탑 당장 치우 었 어요 , 두께 도 얄쌍 하 아서 가지 고 다니 기 부담 스럽 지 않 았 구요 , 윈10 설치 도 빠르 게 되 었 고 무선마우스 도 그램 정품 으로 오 아서 더 좋 았 어요 , 참 같이 오 ᆫ 그램 정품 가방 멋 스럽 어요
17인치	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다 
크	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다 
좋	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다 
좋	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다 
17인치	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다
크	잦 은 이동 이 거의 없 는 편 이 라 화면 이 크 어서 일정 장소 에서 쓰 기에 좋 구요 
좋	잦 은 이동 이 거의 없 는 편 이 라 화면 이 크 어서 일정 장소 에서 쓰 기에 좋 구요
크	그램 15 를 사용 중 , 아무래도 문서작업 을 많이 하 다보니 화면 크 기가 좀 불만 이 었 는데 마침 17인치 가 나오 아서 고민 많이 하 다 이번 쿠폰 덕 에 덜컥 지르 었 네요 
17인치	그램 15 를 사용 중 , 아무래도 문서작업 을 많이 하 다보니 화면 크 기가 좀 불만 이 었 는데 마침 17인치 가 나오 아서 고민 많이 하 다 이번 쿠폰 덕 에 덜컥 지르 었 네요
좋	키감 도 좋 고 화면 도 광활 하 아서 좋 고요 
좋	키감 도 좋 고 화면 도 광활 하 아서 좋 고요
크	화면 은 크 면 크 ᆯ수록 좋 은 것 같 네요 
크	화면 은 크 면 크 ᆯ수록 좋 은 것 같 네요 
좋	화면 은 크 면 크 ᆯ수록 좋 은 것 같 네요
크	배송 도 빠르 고 노트북 도 화면 도 크 고 깔끔 하 네요
시원시원	무게 도 가볍고 화면 크기 도 시원시원 하 고 아주 좋 아요 i7 이랑 i5 고민 많이 하 았 는데 둘 이 차이 가 미세 하 고 저 는 웹서핑 영화감상 인강 용 으로 만 사용 하 ᆯ거라 이 모델 로 하 았 습니다 
좋	무게 도 가볍고 화면 크기 도 시원시원 하 고 아주 좋 아요 i7 이랑 i5 고민 많이 하 았 는데 둘 이 차이 가 미세 하 고 저 는 웹서핑 영화감상 인강 용 으로 만 사용 하 ᆯ거라 이 모델 로 하 았 습니다
훨씬	5 키로 정도 이 었 는데 이번 에 그램 17 i5 사서 들어보 니까 훨씬 가볍고 백팩 에 가지 고 다니 면 좋 겠 다고 생각 들 이 었 어요 화면 도 처음 에 는 크기 차이 가 생각 보다 덜 나 ᆫ다고 생각 하 았 는데 쓰 다 보 니까 훨씬 나 아요 배송 도 빨리 오 았 어요 11 
좋	5 키로 정도 이 었 는데 이번 에 그램 17 i5 사서 들어보 니까 훨씬 가볍고 백팩 에 가지 고 다니 면 좋 겠 다고 생각 들 이 었 어요 화면 도 처음 에 는 크기 차이 가 생각 보다 덜 나 ᆫ다고 생각 하 았 는데 쓰 다 보 니까 훨씬 나 아요 배송 도 빨리 오 았 어요 11 
