PNword	review
잘	이번 에 집 컴퓨터 를 바꾸 ᆯ 때 가 되 어 알아보 던 중 데 스트 탑 대신 노트북 으로 구매 하 자고 결정 하 고 알아보 았 구요 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 습니다 15인치 로 하 았 음 휴대성 이 더 좋 을 것 같 기 ᆫ 한 데 ㅎ ㅠ 대 보다 ᆫ 보통 집 에서 문서 및 사무용 으로 사용 하 ᆯ 것 같 아서 17인치 로 결정 하 았 는데 아주 잘 하 ᆫ 것 같 습니다
크	그램 15 를 사용 중 , 아무래도 문서작업 을 많이 하 다보니 화면 크 기가 좀 불만 이 었 는데 마침 17인치 가 나오 아서 고민 많이 하 다 이번 쿠폰 덕 에 덜컥 지르 었 네요
추천	1 년 을 고민 하 다가 우연히 할인행사 를 하 는 것 알 게 되 어서 검색 하 다가 17인치 가 눈 에 들어오 아서 바로 지르 어 버리 엇 음 집 에 택배 오 자마자 애지중지 한 꺼풀 씩 얼 ᆫ 박싱 하고 서 는 가장 먼저 윈도우10 부 하 다 깔 았 는데 처음 으로 프리도스 노트북 에 도전 하 ᆫ 것 이 라 약간 은 걱정 하 았 지만 천천히 하나하나 읽 어 가 면서 하 니 쉽 었 어용 내친김 에 오피스 프로그램 도 깔 고 한글 프로 그람 도 깔 고 바이러스 프로 그람 도 깔 고 프린트 설정 도 하 니 어느 정도 환경설정 다 되 었 다고 생각 하 았 을 때 문제 가 발생 추가 로 넣 은 ssd 가 인 식 이 안되 는 것 아니 ᆫ가 하지만 내 가 누군가 장치 드라이브 에서 나타나 ᆫ 드라이브 를 유심히 살펴보 니 초기 화 가 안 되 어 있 어서 포맷 하 면서 드라이브 설정 하 아 주 고 나 니 모든 게 해결 되 었 다 컴 에 대하 아서 조금 만 알 ᆫ다면 프리도스 컴퓨터 를 살 ᆯ걸 저 극 추천 하 ᄆ 가격 도 싸 고 원하 는 프로 그람 직접 설치 하 ᆯ 수 있 으니 만족 하 ᄆ 
만족	1 년 을 고민 하 다가 우연히 할인행사 를 하 는 것 알 게 되 어서 검색 하 다가 17인치 가 눈 에 들어오 아서 바로 지르 어 버리 엇 음 집 에 택배 오 자마자 애지중지 한 꺼풀 씩 얼 ᆫ 박싱 하고 서 는 가장 먼저 윈도우10 부 하 다 깔 았 는데 처음 으로 프리도스 노트북 에 도전 하 ᆫ 것 이 라 약간 은 걱정 하 았 지만 천천히 하나하나 읽 어 가 면서 하 니 쉽 었 어용 내친김 에 오피스 프로그램 도 깔 고 한글 프로 그람 도 깔 고 바이러스 프로 그람 도 깔 고 프린트 설정 도 하 니 어느 정도 환경설정 다 되 었 다고 생각 하 았 을 때 문제 가 발생 추가 로 넣 은 ssd 가 인 식 이 안되 는 것 아니 ᆫ가 하지만 내 가 누군가 장치 드라이브 에서 나타나 ᆫ 드라이브 를 유심히 살펴보 니 초기 화 가 안 되 어 있 어서 포맷 하 면서 드라이브 설정 하 아 주 고 나 니 모든 게 해결 되 었 다 컴 에 대하 아서 조금 만 알 ᆫ다면 프리도스 컴퓨터 를 살 ᆯ걸 저 극 추천 하 ᄆ 가격 도 싸 고 원하 는 프로 그람 직접 설치 하 ᆯ 수 있 으니 만족 하 ᄆ
잘	사실 휴대성 을 이유 로 15인치 랑 17인치 중 에서 고민 을 많이 하 었 는데 17인치 로 선택 하 ᆫ 것 이 잘 하 ᆫ 결정 이 라고 생각 하 ㅂ니다
좋	무게 도 가볍고 화면 크기 도 시원시원 하 고 아주 좋 아요 i7 이랑 i5 고민 많이 하 았 는데 둘 이 차이 가 미세 하 고 저 는 웹서핑 영화감상 인강 용 으로 만 사용 하 ᆯ거라 이 모델 로 하 았 습니다
크	코딩 하 는게 직업 이 라 화면 크 ᆫ게 필요 하 았 는데 , 그램 17 으로 정하 고 몇 달 을 벼르 다 고민 고민 끝 에 구매 하 았 어요
비싸	저가 노트북 과 그램 사이 에서 고민 많이 하 았 는데 상대 적 으로 좀 비싸 더라도 ( 평소 가격 보다 ᆫ 훨씬 싸게 사 기 ᆫ 하 았 죠 ) 그램 구매 하 기 ㄹ 잘 한 것 같 아요 
잘	저가 노트북 과 그램 사이 에서 고민 많이 하 았 는데 상대 적 으로 좀 비싸 더라도 ( 평소 가격 보다 ᆫ 훨씬 싸게 사 기 ᆫ 하 았 죠 ) 그램 구매 하 기 ㄹ 잘 한 것 같 아요
잘	걱정 이 무색 하 게 저렴 하 ᆫ 가격 에 상품 옵션 설치 까지 완벽 하 게 완료 하 아 빠르 ᆫ 배송 으로 잘 받 았 습니다 구매 고민 하 시 는 분 들 께 추천 드리 어요 
추천	걱정 이 무색 하 게 저렴 하 ᆫ 가격 에 상품 옵션 설치 까지 완벽 하 게 완료 하 아 빠르 ᆫ 배송 으로 잘 받 았 습니다 구매 고민 하 시 는 분 들 께 추천 드리 어요
