PNword	review
무겁	이전 에 너무 무겁 ᆫ 노트북 을 들 고 다니 어서 너무 힘들 었 는데 무게 감도 좋 구 역시 나 밧데리 가 너무나 만족스럽 네요 혼자 서 윈도우 설치 하 는 것 도 어렵 지 않 아서 초짜 인 저 도 설치 하 고 지금 사용 중 이 ㅂ니다 감사합니다
가볍	작년 겨울 엘지전자 판매대 에서 그램 을 보 고 가볍 ᆫ 무게 와 심플 하 ᆫ 디자인 에 반하 아서 1 년 을 고민 하 았 습니다
가볍	두께 화면 넓이 그리고 들어보 면 환상적 인 무게 한 손 으로 들 어도 부담 없 는 이 가볍 ᄆ
가볍	무게 차이 는 15인치 랑 17인치 랑 좀 나 는 것 같 더라고요 그래도 제품 자체 가 너무 가볍 어서 17인치 도 손쉽 게 휴대 가능 하 ᆯ 것 같 아요
가볍	17인치 인 데 무게 가볍 구요 업무용 으로 x 1 carbon 쓰 는데 뭐 크 ᆫ 차이 느끼 어 지 지 않 네요 부피 는 차이 가 있 구요 15인치 가방 에 들어가 ㅂ니다 그리고 제일 중요 하 ᆫ 것 제 가 착각 을 하 았 는데 이 노트북 메모리 8 기가 온 보드 이 ㅂ니다 기존 8 기가 제거 하 고 16 기가 두개 로 듀얼 채널 하 려 하 았 는데 뻘 짓 하 았 네요 듀얼 채널 하 시 려면 8 기가 하나 구매 하 시 구요 아니 면 16 기가 메모리 추가 하 는 것 로 요 그리 고 ssd nvme 추가 하 시 는 분 들 속도 로 인 하 아서 기존 ssd 를 제거 하 고 그 자리 에 속도 높 은 것 장착 하 고 기존 꺼 ㄹ 옆 빈 곳 으로 하 아야 하 ㅂ니다 뒤 팔 ᆫ 따 아 보 니 이것 두 번 하 ᆯ 짓 은 못 되 ᄆ 다 돈 있 음 업체 맡기 는 것 로
가볍	휴대용 으로 갤럭시북 쓰 었 던 게 가볍 ᆫ 게 좋 아서 이 었 는데 그램 은 화면 이 두 배 가 넘 는데 무게 는 더 가볍 네요 
가볍	휴대용 으로 갤럭시북 쓰 었 던 게 가볍 ᆫ 게 좋 아서 이 었 는데 그램 은 화면 이 두 배 가 넘 는데 무게 는 더 가볍 네요
가볍고	무게 는 상당히 가볍고 화면 은 정말 넓 어서 너무 만족스럽 습니다
가볍	메모리 , SSD , 윈도우10 추가 하 았 더니 가격 이 많이 늘어나 았 지만 , 성능 이 뛰어나 고 무게 가 가볍 어서 매우 만족 하 ㅂ니다
가볍	화면 이 크 고 무게 가볍 다는 것 이 얼마나 좋은 것 인지 를 체험 하 ㅂ니다
